DATE,USA_BOT,USA_BC,USA_CPI,USA_EXPX,USA_IMPX,USA_CPIC,USA_NFIB
2010-12-16,-41932.0869565,57.7434782609,219.324565217,125.691304348,128.195652174,1.14782608696,92.4826086957
2010-12-17,-41756.2608696,57.7304347826,219.348695652,125.773913043,128.286956522,1.14347826087,92.547826087
2010-12-20,-41580.4347826,57.7173913043,219.372826087,125.856521739,128.37826087,1.13913043478,92.6130434783
2010-12-21,-41404.6086957,57.7043478261,219.396956522,125.939130435,128.469565217,1.1347826087,92.6782608696
2010-12-22,-41228.7826087,57.6913043478,219.421086957,126.02173913,128.560869565,1.13043478261,92.7434782609
2010-12-23,-41052.9565217,57.6782608696,219.445217391,126.104347826,128.652173913,1.12608695652,92.8086956522
2010-12-24,-40877.1304348,57.6652173913,219.469347826,126.186956522,128.743478261,1.12173913043,92.8739130435
2010-12-27,-40701.3043478,57.652173913,219.493478261,126.269565217,128.834782609,1.11739130435,92.9391304348
2010-12-28,-40525.4782609,57.6391304348,219.517608696,126.352173913,128.926086957,1.11304347826,93.0043478261
2010-12-29,-40349.6521739,57.6260869565,219.54173913,126.434782609,129.017391304,1.10869565217,93.0695652174
2010-12-30,-40173.826087,57.6130434783,219.565869565,126.517391304,129.108695652,1.10434782609,93.1347826087
2010-12-31,-39998.0,57.6,219.59,126.6,129.2,1.1,93.2
2011-01-03,-39891.5238095,57.5857142857,219.632,126.642857143,129.285714286,1.11904761905,93.1714285714
2011-01-04,-39785.047619,57.5714285714,219.674,126.685714286,129.371428571,1.1380952381,93.1428571429
2011-01-05,-39678.5714286,57.5571428571,219.716,126.728571429,129.457142857,1.15714285714,93.1142857143
2011-01-06,-39572.0952381,57.5428571429,219.758,126.771428571,129.542857143,1.17619047619,93.0857142857
2011-01-07,-39465.6190476,57.5285714286,219.8,126.814285714,129.628571429,1.19523809524,93.0571428571
2011-01-10,-39359.1428571,57.5142857143,219.842,126.857142857,129.714285714,1.21428571429,93.0285714286
2011-01-11,-39252.6666667,57.5,219.884,126.9,129.8,1.23333333333,93.0
2011-01-12,-39146.1904762,57.4857142857,219.926,126.942857143,129.885714286,1.25238095238,92.9714285714
2011-01-13,-39039.7142857,57.4714285714,219.968,126.985714286,129.971428571,1.27142857143,92.9428571429
2011-01-14,-38933.2380952,57.4571428571,220.01,127.028571429,130.057142857,1.29047619048,92.9142857143
2011-01-17,-38826.7619048,57.4428571429,220.052,127.071428571,130.142857143,1.30952380952,92.8857142857
2011-01-18,-38720.2857143,57.4285714286,220.094,127.114285714,130.228571429,1.32857142857,92.8571428571
2011-01-19,-38613.8095238,57.4142857143,220.136,127.157142857,130.314285714,1.34761904762,92.8285714286
2011-01-20,-38507.3333333,57.4,220.178,127.2,130.4,1.36666666667,92.8
2011-01-21,-38400.8571429,57.3857142857,220.22,127.242857143,130.485714286,1.38571428571,92.7714285714
2011-01-24,-38294.3809524,57.3714285714,220.262,127.285714286,130.571428571,1.40476190476,92.7428571429
2011-01-25,-38187.9047619,57.3571428571,220.304,127.328571429,130.657142857,1.42380952381,92.7142857143
2011-01-26,-38081.4285714,57.3428571429,220.346,127.371428571,130.742857143,1.44285714286,92.6857142857
2011-01-27,-37974.952381,57.3285714286,220.388,127.414285714,130.828571429,1.4619047619,92.6571428571
